Iteration,Best_Fitness
1,3967.61867196311
2,3967.61867196311
3,3967.61867196311
4,3967.61867196311
5,3967.61867196311
6,3967.61867196311
7,3967.61867196311
8,3967.61867196311
9,3967.61867196311
10,3967.61867196311
11,3967.61867196311
12,3967.61867196311
13,3967.61867196311
14,3967.61867196311
15,3967.61867196311
16,3967.61867196311
17,3967.61867196311
18,3967.61867196311
19,3967.61867196311
20,3967.61867196311
21,3967.61867196311
22,3967.61867196311
23,3967.61867196311
24,3967.61867196311
25,3967.61867196311
26,3967.61867196311
27,3967.61867196311
28,3967.61867196311
29,3967.61867196311
30,3967.61867196311
31,3967.61867196311
32,3967.61867196311
33,3967.61867196311
34,3967.61867196311
35,3967.61867196311
36,3967.61867196311
37,3967.61867196311
38,3967.61867196311
39,3967.61867196311
40,3967.61867196311
41,3967.61867196311
42,3967.61867196311
43,3967.61867196311
44,3967.61867196311
45,3967.61867196311
46,3967.61867196311
47,3967.61867196311
48,3967.61867196311
49,3967.61867196311
50,3967.61867196311
51,3967.61867196311
52,3967.61867196311
53,3967.61867196311
54,3967.61867196311
55,3967.61867196311
56,3967.61867196311
57,3967.61867196311
58,3967.61867196311
59,3967.61867196311
60,3967.61867196311
61,3967.61867196311
62,3967.61867196311
63,3967.61867196311
64,3967.61867196311
65,3967.61867196311
66,3967.61867196311
67,3967.61867196311
68,3967.61867196311
69,3967.61867196311
70,3967.61867196311
71,3967.61867196311
72,3967.61867196311
73,3967.61867196311
74,3967.61867196311
75,3967.61867196311
76,3967.61867196311
77,3967.61867196311
78,3967.61867196311
79,3967.61867196311
80,3967.61867196311
81,3967.61867196311
82,3967.61867196311
83,3967.61867196311
84,3967.61867196311
85,3967.61867196311
86,3967.61867196311
87,3967.61867196311
88,3967.61867196311
89,3967.61867196311
90,3967.61867196311
91,3967.61867196311
92,3967.61867196311
93,3967.61867196311
94,3967.61867196311
95,3967.61867196311
96,3967.61867196311
97,3967.61867196311
98,3967.61867196311
99,3967.61867196311
100,3967.61867196311
101,3967.61867196311
102,3967.61867196311
103,3967.61867196311
104,3967.61867196311
105,3967.61867196311
106,3967.61867196311
107,3967.61867196311
108,3967.61867196311
109,3967.61867196311
110,3967.61867196311
111,3967.61867196311
112,3967.61867196311
113,3967.61867196311
114,3967.61867196311
115,3967.61867196311
116,3967.61867196311
117,3967.61867196311
118,3967.61867196311
119,3967.61867196311
120,3967.61867196311
121,3967.61867196311
122,3967.61867196311
123,3967.61867196311
124,3967.61867196311
125,3967.61867196311
126,3967.61867196311
127,3967.61867196311
128,3967.61867196311
129,3967.61867196311
130,3967.61867196311
131,3967.61867196311
132,3967.61867196311
133,3967.61867196311
134,3967.61867196311
135,3967.61867196311
136,3967.61867196311
137,3967.61867196311
138,3967.61867196311
139,3967.61867196311
140,3967.61867196311
141,3967.61867196311
142,3967.61867196311
143,3967.61867196311
144,3967.61867196311
145,3967.61867196311
146,3967.61867196311
147,3967.61867196311
148,3967.61867196311
149,3967.61867196311
150,3967.61867196311
151,3967.61867196311
152,3967.61867196311
153,3967.61867196311
154,3967.61867196311
155,3967.61867196311
156,3967.61867196311
157,3967.61867196311
158,3967.61867196311
159,3967.61867196311
160,3967.61867196311
161,3967.61867196311
162,3967.61867196311
163,3967.61867196311
164,3967.61867196311
165,3967.61867196311
166,3967.61867196311
167,3967.61867196311
168,3967.61867196311
169,3967.61867196311
170,3967.61867196311
171,3967.61867196311
172,3967.61867196311
173,3967.61867196311
174,3967.61867196311
175,3967.61867196311
176,3967.61867196311
177,3967.61867196311
178,3967.61867196311
179,3967.61867196311
180,3967.61867196311
181,3967.61867196311
182,3967.61867196311
183,3967.61867196311
184,3967.61867196311
185,3967.61867196311
186,3967.61867196311
187,3967.61867196311
188,3967.61867196311
189,3967.61867196311
190,3967.61867196311
191,3967.61867196311
192,3967.61867196311
193,3967.61867196311
194,3967.61867196311
195,3967.61867196311
196,3967.61867196311
197,3967.61867196311
198,3967.61867196311
199,3967.61867196311
200,3967.61867196311
201,3967.61867196311
202,3967.61867196311
203,3967.61867196311
204,3967.61867196311
205,3967.61867196311
206,3967.61867196311
207,3967.61867196311
208,3967.61867196311
209,3967.61867196311
210,3967.61867196311
211,3967.61867196311
212,3967.61867196311
213,3967.61867196311
214,3967.61867196311
215,3967.61867196311
216,3967.61867196311
217,3967.61867196311
218,3967.61867196311
219,3967.61867196311
